,name,country,coords
https://openalex.org/I4210137306,Stanford Medicine,US,"(37.42411, -122.16608)"
https://openalex.org/I75059550,Zhejiang Gongshang University,CN,"(30.293649673461914, 120.16142272949219)"
https://openalex.org/I115228651,"Agency for Science, Technology and Research",SG,"(1.2896699905395508, 103.85006713867188)"
https://openalex.org/I4210096592,Max Planck Institute for Security and Privacy,DE,"(51.481651306152344, 7.216479778289795)"
https://openalex.org/I145872427,Radboud University Nijmegen,NL,"(51.8425, 5.85278)"
https://openalex.org/I4472751,Anhui Normal University,CN,"(31.352590560913086, 118.4294662475586)"
https://openalex.org/I202126657,Qufu Normal University,CN,"(35.5966682434082, 116.9911117553711)"
https://openalex.org/I137867983,Central University of Finance and Economics,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I44635919,National Institute of Technology Delhi,IN,"(28.621370315551758, 77.21479797363281)"
https://openalex.org/I141591182,University of Aizu,JP,"(37.52367401123047, 139.93807983398438)"
https://openalex.org/I168719708,City University of Hong Kong,HK,"(22.2783203125, 114.17469024658203)"
https://openalex.org/I4210109586,Moscow Institute of Thermal Technology,RU,"(55.75874710083008, 37.61050033569336)"
https://openalex.org/I4210090176,Institute of Computing Technology,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I56934997,Changsha University of Science and Technology,CN,"(28.095895767211914, 112.98870849609375)"
https://openalex.org/I4210133566,McCarton Foundation,US,"(40.839969635009766, -73.8822250366211)"
https://openalex.org/I4210148469,Visa (United States),US,"(37.55855178833008, -122.27108001708984)"
https://openalex.org/I181647926,University of Strathclyde,GB,"(55.86515, -4.25763)"
https://openalex.org/I25254941,Beijing Normal University,CN,"(39.9075, 116.39723)"
https://openalex.org/I79161377,Punjabi University,IN,"(30.359724044799805, 76.45423126220703)"
https://openalex.org/I101407740,Chandigarh University,IN,"(30.679950714111328, 76.72210693359375)"
https://openalex.org/I4210087059,Technology Innovation Institute,AE,"(24.436887741088867, 54.61338806152344)"
https://openalex.org/I137748056,Sanden (Japan),JP,"(36.334205627441406, 139.1977081298828)"
https://openalex.org/I4210124510,Duality (United States),US,"(40.7359504699707, -74.1714096069336)"
https://openalex.org/I11793825,National Institute of Technology Patna,IN,"(25.59408, 85.13563)"
https://openalex.org/I23171815,Zhengzhou University of Light Industry,CN,"(34.75777816772461, 113.64861297607422)"
https://openalex.org/I4210130157,Institute of Informatics and Telematics,IT,"(43.718841552734375, 10.425210952758789)"
https://openalex.org/I4210155236,National Research Council,IT,"(41.89193, 12.51133)"
https://openalex.org/I131359167,Le Quy Don Technical University,VN,"(21.049198150634766, 105.78578186035156)"
https://openalex.org/I205490536,Dongguk University,KR,"(37.566, 126.9784)"
https://openalex.org/I863896202,Delhi Technological University,IN,"(28.621370315551758, 77.21479797363281)"
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,CN,"(39.9075, 116.39723)"
https://openalex.org/I4210089636,"Entrepôts, Représentation et Ingénierie des Connaissances",FR,"(45.696510314941406, 4.943850040435791)"
https://openalex.org/I188626449,Université Lumière Lyon 2,FR,"(45.74846, 4.84671)"
https://openalex.org/I172675005,Nanyang Technological University,SG,"(1.28967, 103.85007)"
https://openalex.org/I2250650973,Samsung (South Korea),KR,"(37.566, 126.9784)"
https://openalex.org/I4210117146,St. Joseph's College New York,US,"(40.69050979614258, -73.9677734375)"
https://openalex.org/I154099455,Shandong University,CN,"(36.66833, 116.99722)"
https://openalex.org/I125839683,Beijing Institute of Technology,CN,"(39.9075, 116.39723)"
https://openalex.org/I165859042,Huaibei Normal University,CN,"(33.97444152832031, 116.79167175292969)"
https://openalex.org/I114017466,University of Technology Sydney,AU,"(-33.86785, 151.20732)"
https://openalex.org/I82880672,Beihang University,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I60587646,Brno University of Technology,CZ,"(49.19522, 16.60796)"
https://openalex.org/I31746571,UNSW Sydney,AU,"(-33.86785, 151.20732)"
https://openalex.org/I46482218,Anqing Normal University,CN,"(30.51416778564453, 117.04805755615234)"
https://openalex.org/I65181880,Indian Institute of Technology Hyderabad,IN,"(17.62477, 78.08669)"
https://openalex.org/I20231570,Peking University,CN,"(39.9075, 116.39723)"
https://openalex.org/I97750245,Software (Spain),ES,"(40.60102462768555, -3.7155539989471436)"
https://openalex.org/I162714631,George Mason University,US,"(38.84621810913086, -77.3063735961914)"
https://openalex.org/I1456306,North China University of Technology,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I114531698,Tokyo Institute of Technology,JP,"(35.68949890136719, 139.69171142578125)"
https://openalex.org/I4210125098,Hangzhou Vocational and Technical College,CN,"(30.320642471313477, 120.35395050048828)"
https://openalex.org/I4210137318,Uttarakhand Seva Nidhi Paryavaran Shiksha Sansthan,IN,"(29.60472297668457, 79.6635513305664)"
https://openalex.org/I203172682,Northern Arizona University,US,"(35.19807052612305, -111.6512680053711)"
https://openalex.org/I2799449666,State Ethnic Affairs Commission,CN,"(39.907501220703125, 116.39723205566406)"
https://openalex.org/I6645349,Southwest Minzu University,CN,"(30.666669845581055, 104.0666732788086)"
https://openalex.org/I80947539,Fuzhou University,CN,"(26.061389923095703, 119.30610656738281)"
https://openalex.org/I207223250,Indian Institute of Information Technology Design and Manufacturing Jabalpur,IN,"(23.166969299316406, 79.95005798339844)"
